,阅读数,评论数,标题,作者,最后更新,情绪
0,15862,172,今天乱猜一下,萍踪狐影,08-24 09:11,0.46843113551070614
1,5214,184, 今天外围暴跌，不用慌，也就是影响下开盘，3259不破就,荒原草丶,08-24 09:11,0.7601515608063808
2,4813,13,话说   大盘8.24盘前,飞石点金,08-24 09:11,0.4749765614707755
3,101,3,记新闻,SanctaSimplicita,08-24 09:11,0.8169657282337809
4,23382,495,赚稳当的钱（8.24周三操作计划分享）,畅享快乐,08-24 09:11,0.14515583910280416
5,52077,1174, “大圣此去欲何！”“踏南天碎凌霄”“若一去不回”“,Rock_C,08-24 09:10,0.26976796454920016
6,1133,12,不畏浮云遮望眼，此处可低吸,八风无痕,08-24 09:10,0.25055132313048056
7,149,2,真的赚不回来了，感觉炒股很难赚到钱了，每次一买就跌,短线森森,08-24 09:10,0.010739065740571818
8,1870,26,对目前A股大盘的技术分析(555)[22-28日走势研判],程楠,08-24 09:10,0.5431318519553281
9,2287,38, 七年之庠，八年起涨！今年夲质属，最后一次金蹲年,谦谦怡,08-24 09:10,0.8764558287473673
10,66,1,老杨【2022.8.24早资讯整理及受益标的】,老杨投资日记,08-24 09:10,0.8207450773620392
11,22113,275,高抛后，现等待低吸,神剑SUN,08-24 09:10,0.2592802728142145
12,1,0,今半导体板块和附属软件科技板块会有反弹机会！银行板,九鼎久,08-24 09:10,0.8001297081718759
13,53,0,今天将在宁德的带领下上冲3000点大关,股友E55z798711,08-24 09:10,0.3956749482667574
14,25,1, 【二进三早盘--指数要有大动作了】指数今天要有大动作,狙哥二进三,08-24 09:10,0.4777620411098418
15,551,28,市场是让炒股人思念的地方，留下多少伤感的痛，那种痛,北京小影,08-24 09:09,0.9992866092566933
16,693,11,8月23日晚间！市场刚传来重磅消息，事关A股后期的行情,鹏哥分析,08-24 09:09,0.4822295565812035
17,745,27, 大盘目前极度弱势，抛盘不断，还会有震荡向下的可能。,股友aEQrk7,08-24 09:09,0.20816794255972548
18,1,0,市场寒风凛冽之时，往往是主力往上攻的时机，今大盘开,九鼎久,08-24 09:08,0.8326024644755374
19,1,0,长安汽车抄底第一人，我只想说，除了狐导，唯一让我叹,基民代表人物,08-24 09:08,0.9110349103237614
20,3844,13,一鼓作气上冲，还是有点难度,八风无痕,08-24 09:08,0.9296356290041992
21,28,1,中国移动采购20000个华为5G通讯手机壳，由数源科技研,沈华东,08-24 09:08,0.36715349608522796
22,107,0,物以类聚，人以群分,廿八天,08-24 09:08,0.4431368814132983
23,38,1,今日1,上上下下3000,08-24 09:08,0.7973720452558202
24,33.2万,6097,上个帖子发布一年多了，目前大盘指数多了300多点。在,熊吃人,08-24 09:07,0.3958951786582102
25,1659,3,8.24  早评  旗手的异动是市场做多的开始么？,不喝啤酒的啤酒肚,08-24 09:07,0.5122636523201538
26,4511,206,【作于东方网络涨停时】,黄金大道kx,08-24 09:07,0.380272498700821
27,14,0,市场利好消息,京居报道,08-24 09:07,0.6978842087381371
28,6,0,8月23日，上证指数小幅低开后，有上行趋势，证券板块,梦染衣,08-24 09:07,0.11638890536882673
29,111,1,昨天下午进场接飞刀，半仓，原因是：飞刀股今天开盘还,诊断者,08-24 09:07,0.056465843054833376
30,38770,1739,想我大A最近这十多天，对持股的人来说，就象是一场灾,西红柿子番茄子,08-24 09:07,0.7186803689934174
31,375,3,大家早上好，昨夜美股三大指数小幅下跌，富时A50拉升0,广东女侠,08-24 09:07,0.022458340995566428
32,3539,40,2022年8月23日A股市场热点梳理+涨停复盘！,鹏哥分析,08-24 09:06,0.9499913364158796
33,12688,52,畜牧行业最低谷已过，进入新一轮上行周期,畜牧ETF,08-24 09:06,0.7362746567198213
34,1035,8,刚刚吃过晚饭，市场传来两条信息，一起来看看：1、任,广东女侠,08-24 09:06,0.20516867476321976
35,10922,447,2022年下半年怎么走？？？,Sax淡泊名利,08-24 09:05,0.18456553786659535
36,13,0, 不知道今儿怎么样。,澶煎敚,08-24 09:05,0.34527875471283087
37,74,1,8.24财经新闻早报1.任正非：全球经济衰退，华为应改变,三万封板,08-24 09:05,0.9795692242706218
38,97017,1077,今日继续震荡上攻,萍踪狐影,08-24 09:05,0.8723353888032799
39,936,32,黄国东：下周很关键，股市预测,黄国东论市,08-24 09:05,0.993938816883545
40,1318,28,股市生涯十余年，从无到有！总结了以下几点做低吸的经,鹏哥分析,08-24 09:05,0.9467223425045297
41,22,0,昨天能源大涨，今天走分歧，正好做主线龙头。目标昨天,漠漠孤烟垂大野,08-24 09:05,0.8565090328463528
42,1,0,高位出现我们小散东财拉萨帮，就代表筹码分散，平常有,接力王者,08-24 09:05,0.6381693375185105
43,33,0,妙妙早盘预判今日—看涨，探取3300震荡区间：3250—33,妙妙小宝,08-24 09:05,0.9998473584017183
44,311,9, 在股市里的典型的韭菜思维,jas123456,08-24 09:04,0.9864571486284357
45,14523,422,返场福利【如果精准找买点】,RocO,08-24 09:04,0.9368536979696874
46,19,0,最近啥情况,自选股之王,08-24 09:03,0.3935742971887549
47,89,1,昨天周二大盘基本维持窄幅震荡整理的格局，昨天说了：,财哥看盘解析,08-24 09:03,0.34189953061731637
48,33,0,本周可以关注人工智能板块氢能源板块相关个股机会,百灵鸟识盘,08-24 09:03,0.18084754165550654
49,16,0,科技强国,橄榄樹,08-24 09:03,0.9527560097998161
50,1683,31,思危，思变，思退！思想有多远，牛市就有多近。股市总,投资之吻,08-24 09:03,0.9694110771066434
51,4082,60,上证指数：行稳致远,星云123321,08-24 09:02,0.42791364294425116
52,26,0,今天继续上涨！,股友eEyEWM,08-24 09:02,0.19999999999999996
53,30,0,宁王带领大盘闯关[上涨][上涨][上涨][上涨][上涨][献,基民pyTOhr,08-24 09:02,0.003249182878217627
54,17,0,注意节奏把握,蒙哥心材,08-24 09:02,0.9314207218221129
55,34,0,今天百分之百往下跌,红绿龙弹焰,08-24 09:01,0.6429335818357281
56,37,0,大盘离变盘时间越来越近了，方向不明。今天大盘支撑32,西索8889429,08-24 09:01,0.960040377294171
57,720,6,午后A股被撞了腰，缓过劲后还会上攻！,庄哥天堂湖,08-24 09:00,0.9463772612649228
58,367,3,两大龙头业绩超预期，大盘冲击3300点稳了！,红火之点股成金,08-24 09:00,0.9021244671547058
59,714,5,8.23收评-指数站上3280又跌破，明天还要横盘继续修复,打板哥老付,08-24 09:00,0.0012805467845163898
60,4654,74, 一针见血：靓仔，我关注你好久了。当都以为明天解禁会,大牛前行,08-24 08:58,0.9809300358445951
61,94,2,大盘我看到4000点！,连涨18天,08-24 08:58,0.9119813122309967
62,28,0,转发,斐然善贾得牛魔,08-24 08:58,0.5
63,3020,32,果然还是银行砸盘！今日巨亏26934元！A股今天的走势我,百万实盘投资日记,08-24 08:57,0.16021955051768177
64,263,1,券商带盘无果，主力当前可能在借警惕杰克逊霍尔央行年,文才武略88,08-24 08:57,0.9764800196755075
65,4090,260,横久必变！！！需要看票的朋友下方点赞留言，闲时一一,前线股指,08-24 08:57,0.9117463234592216
66,1686,27,啥也不说了，严重被套，这些银太坏了...但是我是散户,柳云释8,08-24 08:57,0.1877403644514829
67,71,0,从康龙化成低位减持50亿元看清两个事实！,价值趋势模型,08-24 08:57,0.9212984878904789
68,35,0,获利巨大，清仓撤离,股友037m8D6662,08-24 08:57,0.44767845850986676
69,304,3,于极迷处识迷，则处处醒,瑞秋瑞秋瑞秋,08-24 08:56,0.34819206244668277
70,102,0,狙击作手【8.24早盘】：今天要有大动作！！本号主要记,狙击作手每日直播,08-24 08:56,0.3017950965387125
71,3765,133, 【六十九万平台款炒股的未来……】二二年第九十次交易,疯皇捏盘,08-24 08:56,0.2768624482244203
72,47,0,我的自选股只有新柴没有涨,自选股之王,08-24 08:55,0.8576297303210563
73,81,0,早评：美股微跌，道指跌0.47%，标普跌0.22%，纳指跌0.,好习惯终生受用,08-24 08:55,0.022304133932059655
74,668,70,好事将近，耐心等待[呲牙]，收盘休息。,股虫已老,08-24 08:55,0.33650251110047813
75,1709,34,沪深股市午评8.23：早盘该涨不涨，出现异动，应该逢高,游击战阵地战,08-24 08:55,0.9987026541218099
76,20767,74, 下周总体下跌,安泰_antai,08-24 08:55,0.8438684233308447
77,707,6,交流贴，盘面复盘分析,木子趋势,08-24 08:54,0.9743182763639379
78,63,0,风险提示：A股大盘涨跌风向标：28万亿规模的基金机构,股海翱翔55,08-24 08:54,0.25848283394603444
79,71,0,大家早上好，昨夜美股三大指数小幅下跌，富时A50拉升0,坤阳股战场,08-24 08:54,0.022458340995566428
80,72,0,大家早上好，昨夜美股三大指数小幅下跌，富时A50拉升0,坤阳股战场,08-24 08:54,0.022458340995566428
81,52576,2896,$上证指数(SH000001)$财经新闻,股路漫漫其艰辛,08-24 08:53,0.8835934367469743
82,234,15, 有哪些帮助你炒股的建议？,A巴菲鹏,08-24 08:53,0.08156880986223791
83,55,0,自从来了新三板，我的第一感受就是，我再也不会去主板,消毒到底的消毒液,08-24 08:52,0.4584365774503427
84,44,0,丶2+%%%,空镜头1203,08-24 08:52,0.4737672181921908
85,5358,330,明日还有冲高，谨防冲高回落。需要看票的朋友点赞留言,前线股指,08-24 08:51,0.970862780353936
86,12629,543,进入八月...（08-01）,心依旧_wang,08-24 08:51,0.5294947133879233
87,1352,3,注意！这个方向正在启动！,爱分析的阿利,08-24 08:51,0.6028289476251429
88,887,11,大盘开始日线级别周期回落了，都小心点吧！,抓阄派闪电,08-24 08:50,0.051459379497312496
89,23896,13,周二晚间市场三个消息！,爱分析的阿利,08-24 08:50,0.22984446012543547
90,353,0,看了看其他人的条件单，感觉大多数人没有明白买卖浮动,海底老纵队,08-24 08:49,0.027582020246836425
91,50,0,昨日大盘指数开盘后继续横盘震荡，至收盘微跌1个点。,韭菜集中营,08-24 08:49,0.6452542312359313
92,50,0,[看空][看空][看空][看空][看空][看空][看空][看空],n542613367889310,08-24 08:48,0.1903920788772071
93,112,0,老杨【8月24日早评】昨日突破3280失败，今日继续围绕,老杨投资日记,08-24 08:48,0.9883331067871514
94,46,0,08月24日大盘策略：3285之上加仓嗨皮！3273之上持股待,广东粤意,08-24 08:47,0.17585076673850908
95,4584,39,没有重要利好支撑，今天大盘下跌概率大一些！,小学生听话赚钱,08-24 08:47,0.7892693912557087
96,69,0,一队腾讯阿里碧桂园二队中石油三队蒙牛达利园,n存在与虚无,08-24 08:47,0.8229318499616664
97,507,2,晒收益：小亏两千，宁德大利好对冲二大利空，明天怎么,王智俊,08-24 08:45,0.8140000329595256
98,971,17,临近收盘！A股再度震荡盘整，券商异动拉升！明天市场,鹏哥分析,08-24 08:45,0.15829788716136184
99,48276,754,发帖难，看多更难（8.23周二操作计划分享）,畅享快乐,08-24 08:44,0.04268138005159583
100,42,0,转发,中国哲学院,08-24 08:43,0.5
101,2306,9,大盘本周有望收复3300点,酷拉皮卡小杰,08-24 08:42,0.6734222873025457
102,60,0,今天危险哦,改个名解解毒吧,08-24 08:42,0.6153846153846156
103,999,2,$上证指数(SH000001)$关于有色行情的中长期判断个人认,中色南方稀土新丰,08-24 08:42,0.7715425368755848
104,677,3,$上证指数(SH000001)$有色发力，至少涨十年，大宗商品,中色南方稀土新丰,08-24 08:42,0.6639839310334906
105,203,5,[cp]大盘狗庄做出的图形来分析。正在酝酿一个中阳线或,量能与角度,08-24 08:41,0.9562036173315563
106,9505,132,未来两天,中天华一,08-24 08:40,0.7869852790215652
107,100,1,财经陈译辉天天胡乱预测，都去举报他。他又预判9月1号,股友C59536260u,08-24 08:40,0.23307265720168158
108,49,0,今天的光伏等于昨天的医药，也许比医药还惨，真佩服接,风华正茂丶,08-24 08:40,0.9965770919853176
109,96,1,晚间市场主要有两大利好：一是宁德时代公布业绩爆棚；,蔚蓝尤佳,08-24 08:40,0.9163970820140542
110,1826,0,早谈：原油反弹美股微跌，今天A股大概率这么走,王智俊,08-24 08:39,0.24966699851159246
111,4878,41, 大盘3243上下5个点精准止跌意料之中，明天大盘在3289,今日李财,08-24 08:39,0.8322819606501308
112,192,0,2022.08.24大盘分析,每日缠解大盘,08-24 08:39,0.9031120874702443
113,193,0, 指数今天要有大动作了我感觉今天要有大动作了，正常的,作手狙哥,08-24 08:38,0.7079994523016098
114,69,1, 下来了。,铁血看客,08-24 08:37,0.5262327818078083
115,56,0,乾坤倒转征程第六十八天。友友们，干杯！！！胜的。[,粤P47959,08-24 08:36,0.33554306037229475
116,53,0,本周不需要过高的点位，能在目前点位上成功确认站稳，,STEVEN探索发现,08-24 08:34,0.6752399245097662
117,66,0,11月前不会跌也不可能跌更不能跌,股友3VL7681090,08-24 08:32,0.004447526785243294
118,1204,32,大家还好吗？名和利都是身外之物，淡泊名利才会活得更,白水仙精灵,08-24 08:31,0.7830551898059179
119,620,1,欧美绿油油的一片，我大A今天能否率先反弹一下,三秋一十三,08-24 08:31,0.9819112361435516
120,84,0,昨夜，有色金属板块涨幅居前，贵金属风口即将来临。,奥利奥变奥拓,08-24 08:31,0.8344760549431095
121,71,0,【牛市开始时在盘面的信号？？？】你要想知道很简单，,万泉河小舟,08-24 08:29,0.8896373741363842
122,210,1,8月24号上证指数分时预测图(林烝分时策略）,林烝森林,08-24 08:28,0.9503526197479429
123,429,1,"股道剑心的百万实盘日记，2022.08.23 今日战况：+3,03",股道剑心,08-24 08:27,0.968345150888756
124,1820,70, 在这浅秋的日子，我们希望这浅秋的风不要吹的太大，今,北京小影,08-24 08:26,0.20991529779169904
125,117,0,昨天股指小幅低开振荡探底后回升冲高，然后逐步回落收,孙彦民1,08-24 08:25,0.007125995527775264
126,98,0,8月24号早盘上证指数趋势交易分析分享,石头哥趋势交易,08-24 08:24,0.7182917069765358
127,184,2,月底之前，股票中报要披露完毕，但中报后期披露的有雷,股友999c9F8168,08-24 08:23,0.9931344664817141
128,59,0,$上证指数(SH000001)$,石头哥趋势交易,08-24 08:22,0.5608304540994631
129,860,5,手握现金，迎接寒冬！,牛小散战队,08-24 08:20,0.06185753479563272
130,80,0,今天大盘大概率低开高走，预计红盘10-20个点收盘。电,元问zcyiwk,08-24 08:19,0.26481300689079745
131,93,0,全面注册制已经是确定性的事了，券商板块现在处于低位,低位反弹,08-24 08:18,0.31777087333762977
132,71,0,今天天气终于降下来了，很多地方开始下雨了，电力的紧,说话都带韭菜香,08-24 08:14,0.03423109151597736
133,99,0,本周全球天然气行业风声鹤唳，除了欧美期货可预见的历,murongjinri,08-24 08:13,0.9777025679676843
134,66,0,南钢股份十大流通股东中：１、牛散：熊立武，加仓南钢,青青岛,08-24 08:13,0.8153704356815127
135,72,0,油价五连降，今天新能源车跌停潮！,无当飞将,08-24 08:13,0.038125933854210925
136,133,0,8.24早盘,读之者,08-24 08:10,0.4737672181921908
137,434,4,跟大家讲个故事，踢加1和踢加0的区别。,股友vkRvBA,08-24 08:10,0.007455080734532493
138,70,1,昨天北向资金被咱们大玩特玩的风格漂移和抱团炒作吓跑,对嗜血者以血还血,08-24 08:10,0.7282219882719282
139,734,6,老杨【8月23日收评】下午再次跌破3280，这意味着明天,老杨投资日记,08-24 08:06,0.001935505210841848
140,63,0,//@万泉河小舟 :答读者问：“后市如何”？？？,万泉河小舟,08-24 08:05,0.5185619893133764
141,75,0, 对于指数没什么可说的，依然是震荡调整，节奏上还是快,老A侃股,08-24 08:02,0.6950251946861954
142,100,2,【多粉伪装陷阱1】d,逆水行华亚ruo智暴跌39,08-24 08:02,0.2190005038842523
143,1170,2, #锂电池板块回暖锂矿股领涨#鞍重股份一万吨碳酸锂四季,追求复利2020,08-24 08:01,0.0765481150774232
144,8787,138,调整时间周期预判 ：时间节点8.11， 8.15 ，8.23-8.25,波浪涛韬,08-24 08:00,0.3806290982478706
145,189,0,早评：再次冲击3300！有望突破近期小平台！人狠话不多,吾本将本求财,08-24 07:59,0.706236044735267
146,3938,32,神预测蓝思科技两次屠杀,远离无诚信造假股,08-24 07:59,0.9919713402465251
147,215,0,北水流出91亿，指数不跌就是强，盘中券商一度护盘，但,犇驰17944,08-24 07:59,0.7957385486487306
148,194,2,美国指数小幅下跌，锂电池逆势大涨5%，A股今天锂电池,炒股参谋,08-24 07:59,0.9699984718853522
149,164,0,万丰奥威～“镁”好未来 全球镁合金轻量化产业绝对龙,天通财神,08-24 07:58,0.999471060378625
150,45642,1242,6124后浪型,海纳百川zhzp,08-24 07:57,0.41559215231051627
151,25.3万,7736,龙哥的终极贴：路漫漫其修远兮，吾将上下而求索。紧贴,杭州龙哥,08-24 07:56,0.9945456984298321
152,66,0,多做观测少做预测如有不测要有对策,三千万为止,08-24 07:55,0.9351663049279022
153,67,0,今天收盘3240？,韭菜界传奇,08-24 07:55,0.6429335818357281
154,75,0,昨天北向资金被咱们大玩特玩的风格漂移和抱团炒作吓跑,对嗜血者以血还血,08-24 07:55,0.7282219882719282
155,1458,3,策略丨煤炭畜牧强势上涨，散户基民该怎么操作（附板块,小沐投资笔记,08-24 07:53,0.6187017906239926
156,63,0,宁王万亿市值半年也就赚82亿，一片欢呼，不知哪里值得,张方醒,08-24 07:53,0.8069467733469066
157,439,5, 马前炮，今天上午10.46分享的002689远大智能，当时跌4,爆哥jyzwx88,08-24 07:52,0.09172119912612087
158,542,12, 从此与个股无缘[旺柴][旺柴][旺柴][旺柴][旺柴][旺柴],海底老纵队,08-24 07:52,0.9999178825893774
159,54,0,昨天北向资金被咱们大玩特玩的风格漂移和抱团炒作吓跑,对嗜血者以血还血,08-24 07:52,0.7282219882719282
160,146,0,【股市早评】一、财经消息1、隔夜美股三大指数微跌 ，,三万封板,08-24 07:48,0.6511767600439973
161,60,0,今早忽然狂风大作，气温陡降，开了二个月的空调终于关,无当飞将,08-24 07:47,0.26098571501286927
162,162,0,【股市早评】一、财经消息1、隔夜美股三大指数微跌，,三万封板,08-24 07:45,0.6511767600439973
163,59,0,天时地利人和，今明两天中大阳线，开启新的征程！,技术分析扫地僧,08-24 07:44,0.42604579665715825
164,81,0,大白马来了,百万实盘投资日记,08-24 07:43,0.4737672181921917
165,54,0,今天上证高开,氵盧山,08-24 07:43,0.3400577382350498
166,126,0,隔夜米股三大股指全部收跌，但是a50期指收红，外围环,三万封板,08-24 07:42,0.14657797264909356
167,66,0,今天可能收实体阳，本周最后一根阳线。,绝处萌芽,08-24 07:41,0.24752245040341347
168,65,0,宁德时代业绩比一季度好太多大超预期，今天A股创业板,Wsneve,08-24 07:36,0.653226508791587
169,134,0,沪指假阳十字星，内外资分歧明显,风飞天涯之讯,08-24 07:34,0.5866978212715838
170,125,2,当市场缺乏带头大哥带领冲关的时刻，宁王出现了，来的,强囯梦终会实现,08-24 07:33,0.9065290963562024
171,2227,6,策略|这一迹象表明接下来A股或会突破3300点原因是这个,龙行天下虎呀,08-24 07:27,0.8932475973492314
172,130,0,8.24早盘，乱世出英雄,老朱炒股2,08-24 07:26,0.9648132995963518
173,47,0,从今天开始，沉下心来，认真学习再求回报，感恩遇见，,爱追鱼的猫,08-24 07:26,0.9915759077231657
174,132,0,风险解除！A股今天完整剧本出来了，不管你是持仓还是,三万封板,08-24 07:22,0.8675342859717622
175,339,0,不得不说的一支潜力股,曾书书战记,08-24 07:21,0.49180785435588403
176,177,0,【财经日报】A股弱势盘整创指涨0.05% 燃气板块涨幅居,韭零后投资,08-24 07:13,0.43770900613391395
177,148,3,涨跌个股一半对一半，我拖后腿了，红一绿三，不好意思,生财钵满地孙膑,08-24 07:06,0.004767642503013092
178,257,3, 指数这个位置要决定方向。要么向上，要么向下，向上会,惜天复盘,08-24 07:05,0.9088683393281497
179,81,0, 福田汽车焦点访谈栏目,股友dOzbzE,08-24 07:04,0.793994939040734
180,8187,10,小妹操作：上涨不要追，保持低吸，今天买入这些！,是小妹吖,08-24 07:04,0.07244835195004495
181,84,0, 重磅新闻，福田汽车互联科技央视焦点访谈栏目，今日关,股友dOzbzE,08-24 07:04,0.9927828417799006
182,132,1,2022.8.23天齐清仓，换陕天然气，44手。盈方微没动，,BN凌凌7,08-24 07:02,0.01552883530894078
183,396,1,《打蛇打七寸，抓住华设集团重点之重点》一，大牛市环,阳光半城,08-24 07:01,0.9376585394660989
184,128,2,3300会有反复！2863必破！2400就是底部区域？,赌市无形大手888,08-24 06:59,0.3124074894422183
185,10238,71,横刀狂歌：上周半导体大幅下杀，再次满仓就是我的态度,横刀狂歌,08-24 06:58,0.18924334940162146
186,78,0,周边市场收阴，A股走势独立行情？会吗？,金玉民丰得张无忌,08-24 06:58,0.6947589258607213
187,252,6,真的不能炒股票了，再玩家，车，房都要没了，你们是不,无当飞将,08-24 06:58,0.022554395359524082
188,79,1, 今年反败为胜[拳头][拳头][拳头][财力][财力][财力],年年小余,08-24 06:58,0.03787894862377572
189,502,19,4年了，今年亏30多万，累计亏40多万。。心累。,悟道中2022,08-24 06:57,0.4048928100945429
190,81,0,8月23号收十字星，大A要变盘了.,查尔斯1636,08-24 06:55,0.2382077601354362
191,64,0, $上证指数(SH000001)$,骑着毛驴坐高铁,08-24 06:53,0.5608304540994631
192,1333,5,实盘挑战百万到千万，第6天（8月23日）八成仓,麟神lin1805178,08-24 06:51,0.33026670818997916
193,197,3,下半年估计不会好，慢慢震荡下行，有同意吗？,追风人777,08-24 06:48,0.37305328506343016
194,59,0,今天起来看到一片大草原,苏德铲,08-24 06:44,0.9252921451989614
195,62,0,宁王家人们，540以挂单,打板异族,08-24 06:41,0.1454975198960563
196,106,0,宁王千万别高开低走砸！！！今天突破3300概率大！高标,财源多谋地任我行,08-24 06:39,0.37420356896942164
197,73,0,牛肉，我没吃到，吃到牛S了。,永不言败得宙斯,08-24 06:37,0.008479750641705475
