,阅读数,评论数,标题,作者,最后更新,情绪
597,591,2,论中概股的一带一路，上证B股指数三季度将引来十倍涨,吉米米4530,08-23 18:23,0.6432975665096663
598,74,0,十字星成灾,股友R6h6825518,08-23 18:23,0.4737672181921908
599,84,0,期货龙虎榜来看，这周剩下几天惨了,bluepig888888,08-23 18:22,0.6641252071940829
600,2278,4,打一拳再给个枣，这样的行情怎么办？及近日半年报披露,天咨操盘君,08-23 18:22,0.9546657615010729
601,72,0,游子融资买入小盘股炒小盘股、赚的满满的、买入中大盘,飞黄积玉的小乔,08-23 18:21,0.9891556982527651
602,131,0,8月23日 在证券市场纠纠结结的时候，我来也！,我是987,08-23 18:20,0.46591679243269424
603,63,0,#聚焦热门中报解读，挖掘隐藏投资机会#奖金太少了，都,笑对人生9898,08-23 18:20,0.9991053442180758
604,21305,20,好消息|北上资金大幅抄底药明康德，医疗要起飞了吗？,小尘理财,08-23 18:20,0.9312474122904585
605,745,4,格林达：严重被忽视的高成长兼低估值电子材料公司（对,宏图有余得何书桓,08-23 18:19,0.9989132944383231
606,170,2,今天会有多少绿？,日月升停,08-23 18:18,0.6101396421187163
607,1302,3,网友炸锅|医疗暴跌超18%，该清仓还是梭哈抄底？,小尘理财,08-23 18:18,0.9878316588764853
608,2181,46,炒股十余年，曾想放弃，后来发现山顶风景真美！如果你,鹏哥分析,08-23 18:17,0.9989808621605684
609,60,0,转发,退市三毛,08-23 18:15,0.5
610,1012,15, 流入，没毛病。[强壮],别跟庄斗气,08-23 18:12,0.9449743969051829
611,396,8, 2022.08.22今日盈利180，每次新建仓的股就一路跌[惨!,小梅牛,08-23 18:10,0.24495648290056804
612,67,0,#聚焦热门中报解读，挖掘隐藏投资机会#300889爱克股份,拿刀的猎人,08-23 18:09,0.9996864645092145
613,1398,29,晚上复盘，请所有人为我见证，明日大盘将强势突破3300,广东女侠,08-23 18:06,0.9940340869070261
614,56,0, 加油，大A,shajlop,08-23 18:04,0.9292164595886475
615,73,0,上证明阴线,协和南百,08-23 18:02,0.5501163114125996
616,503,4,长安和江淮还能拉那么猛，汽车零部件里多少小妖股。麻,灬小玩家,08-23 18:02,0.9896428643225866
617,265,1, 天奇我哥楞是没给我冲啊明天看吧有溢价我就跑了#三一,qin10144,08-23 18:02,0.1965100899019404
618,868,18,#锂电池板块回暖锂矿股领涨#现在风光储反弹有限，主线,超萌的小龙龙,08-23 18:01,0.8733170993955747
619,154,0, 面对全球经济的衰退，实体业萎靡不振，资本们开始兴风,l拉尼娅超星量子l,08-23 18:01,0.9759760159205539
620,291,0,陈自权：上证指数2022年8月24日分时走势预测,非常道陈自权,08-23 18:01,0.8152272477311374
621,101,1,五日均线上行吃力，明天危险危险危险！,SwXmhA9一颗樱桃,08-23 18:00,0.23181719528256495
622,169,3, 我也不知道东方财富的算法准不准[想一下]一个孤独的小,温心小箭,08-23 17:58,0.9976862226533181
623,118,0,#半年赚120亿，通威股份化身印钞机#高位出利好利好大,股友25868,08-23 17:57,0.6466035544645805
624,385,2,看一下中国海诚藏在垃圾堆里的明星股,从不价值投资,08-23 17:57,0.5602050995047327
625,1018,6, 数天没人理踩它！骗子，托，还能捡点狗粮吗？别上当，,泽润东方12751,08-23 17:56,0.0014546497115334178
626,81,0,涨2个点比登天还难，亏5个点易如反掌。永远是高开低走,睿智de金吉拉,08-23 17:56,0.20349481067703057
627,61,0,#聚焦热门中报解读，挖掘隐藏投资机会#,认真负责地任我行,08-23 17:55,0.997717308992607
628,68,0, 今天清仓五金，没有理想价位，但也不错，原本准备加价,大号的青蛙,08-23 17:54,0.7977303233924167
629,147,1,看看银行指数，是底不反弹，从历史看，没有不涨的道理,坚信底部,08-23 17:50,0.9433978124215858
630,133,1,月底收割机，小心小心,诸葛抄股,08-23 17:49,0.049661355900530335
631,592,5, 时间窗口！,泓深9527,08-23 17:49,0.4752558802393876
632,6306,18,葛兰坚守CXO小龙头（附下半年医疗投资策略）,小尘理财,08-23 17:48,0.995824592814409
633,103,1,怎么感觉最后剩我们还在玩碳中和哈哈哈,不价投财神帮不了,08-23 17:45,0.9501920050201509
634,73,0,【一五计划】日期：8.23自然日第779天交易日第520天，,lcyhrs,08-23 17:45,0.030680601858897982
635,182,0,券商力挺，光伏回暖,涌泉聚利,08-23 17:45,0.9295588250623361
636,65,0,市场成本有由3284走平开始下移至3279点，说明什么问题,买跌卖涨其乐无穷,08-23 17:44,0.558790646593173
637,134,1,亏损微利～轮流玩，轮流表演炒作涨停！！！微利甚至大,三仙888,08-23 17:42,0.1205033362177701
638,328,11,《每日一帖，向着50万目标》净资产71894 当日盈亏-320,章太白,08-23 17:41,0.8125159257956496
639,397,3,方向今天的指数又是集体缩量，有点吓人，那这个位置会,蝙蝠捞金,08-23 17:40,0.9732394037572913
640,1364,25,Games that are not fun are not fun,瑞秋瑞秋瑞秋,08-23 17:39,0.44767845850986676
641,362,3,下午还是要跌,基民mCRKrn,08-23 17:39,0.4844449485763629
642,82,0,市场成本线3284有走平开始下移至3279点，说明什么问题,买跌卖涨其乐无穷,08-23 17:36,0.5958668755198935
643,662,2,独立财务顾问更名 仁东控股说明情况,红刊投服平台,08-23 17:35,0.8845974723033962
644,197,0,20220823上证指数收盘总结,股道大觉,08-23 17:35,0.7186308450433718
645,1758,4,刚看了一公司的定增推进速度。5月17日预案，6月9日股,去往东北,08-23 17:34,0.01756666817596786
646,155,3,散户炒股不是想赚钱，是想什么时候回本[大笑],专注韭菜,08-23 17:34,0.06581955654791294
647,124,1,1.新能源（风光储）和煤炭能源都在高位运行，所以金融,老韭看市奇观,08-23 17:32,0.8635403767793476
648,442,10,今年亏了一年工资对生活绝望了,韭菜命一辈子,08-23 17:32,0.7703932674353681
649,93,1,除了科技新能源的股票，其他板块跌的真恶心,一割肉就连续涨停,08-23 17:32,0.0380720841602854
650,113,1,现在是8月23日，明日短线机会三维化学（9.3元附近），,翻倍哥1,08-23 17:32,0.7975468104846455
651,73,0,9月宁王来解禁，,打板异族,08-23 17:31,0.5510875301351825
652,160,3,又一波下跌在酝酿中,爱运动得丝诺,08-23 17:31,0.7854991891020701
653,166,2, 喋喋不休，顶不住以后的交易守则1.下午交易最多两次2.,若橙世,08-23 17:31,0.0030526295992123753
654,145,1,此波大盘的调整注定是以新能源为代表的锂电、风电、光,爱运动得丝诺,08-23 17:30,0.8129094115113256
655,211,0,每日超短,翻倍哥1,08-23 17:30,0.8845909539840721
656,69,0,光伏储能疯牛一样，其他板块阴跌的恶心,一割肉就连续涨停,08-23 17:29,0.20095426045155074
657,2402,42,主力在恐吓散户们交出筹码啊！,广土老朽,08-23 17:28,0.83726683927471
658,74,0,新能源就是伪命题！,爱运动得丝诺,08-23 17:27,0.45434517428411303
659,213,2,大盘又要跌了！中长线别慌！,成功源于多重准备,08-23 17:27,0.6496757404409738
660,64,0,明天会大涨吗？,诸葛抄股,08-23 17:27,0.5084003912945129
661,117,1,左肩十二天，右肩十一天，,股友06u338Y108,08-23 17:27,0.03854309171788117
662,974,1,缩量上涨阳盖阴，依稀可见头肩底——2022年8月22日上,德鸿看股,08-23 17:24,0.015980793003145477
663,77,0,随着全球智能手机和PC需求回暖、汽车电子产业快速扩张,基民25z3q50505,08-23 17:22,0.9900130859291041
664,57,0,真挺佩服,股友VXUZl9,08-23 17:21,0.8628011489512345
665,797,4,下午跳水三百点！！！,基民r0rHzx,08-23 17:19,0.16531699094035146
666,149,0, 狙击【8.23复盘】：分歧！出手总龙头！本号主要记录个,狙击作手每日直播,08-23 17:18,0.46048457629939354
667,169,0,长园集团：投资者提请民事诉讼 涉案金额合计近2296万,红刊投服平台,08-23 17:18,0.9962440947263592
668,5535,16,话说   大盘8.22盘前,飞石点金,08-23 17:18,0.4749765614707755
669,481,6,昨天买的全部止损，手里只有1.5层。,萌苦上单,08-23 17:18,0.7253146963179193
670,62,0,像个无头苍蝇样的，到处乱窜,韭菜世界没有牛市,08-23 17:17,0.02188697131412265
671,59,0,转发,Nico酱炒股l,08-23 17:17,0.5
672,71,0, 感谢市场感谢大家,一整个宇宙换你,08-23 17:16,0.9037430919529804
673,65,1, 老乡别走来了,王多鱼有梦想,08-23 17:15,0.06978905339670327
674,118,1, 资金虽然不多但是很稳！,稳中求进87,08-23 17:15,0.9657370947896138
675,415,2,低开抢筹，没啥说的。,悲伤的土豆,08-23 17:14,0.28263886321167053
676,1888,5,不过度，不执着（博海心投2022年8月19日周记）,博海心投,08-23 17:13,0.056698013911695044
677,143,0,NYMEX天然气飙升 供气供热创年内新高！半年报公布季 ,易道投资888,08-23 17:11,0.8349056526559906
678,116,1,金叉已现，满仓梭哈。,大白兔爱吃大萝卜,08-23 17:09,0.2797178615468806
679,70,0,航空航天都跌成啥了,怒涨哥,08-23 17:08,0.2677980646825281
680,7264,7,大家早上好，周五夜里美股全线大跌，关于今日A股行情,广东女侠,08-23 17:08,0.6676128856968798
681,8647,336, 放出来的都是～吸钱兽！这样理解没错吧。。。人民银行,雪夜银狐,08-23 17:08,0.32157510261960753
682,71,0,油价天然气飞涨到今年年底飞五六赔己上的,第二众和油大王,08-23 17:06,0.550881372352627
683,60,0,分享,快乐玩股668,08-23 17:05,0.810126582278481
684,85,0,星源还是要扩张，继续和159633中证1000指数ETF一起持,墨香不退与你同味,08-23 17:03,0.9485465503995449
685,71,0,很多小盘成长被基金加仓，看看159633中证1000指数ETF,墨香不退与你同味,08-23 17:02,0.9990636864569938
686,61,0,#聚焦热门中报解读，挖掘隐藏投资机会#,股友079u566r69,08-23 17:02,0.997717308992607
687,128,0,爱卷不卷 反正这个方向最受益,红刊投服平台,08-23 17:02,0.7750139835707645
688,66,0,估值低相对收益大概率好，看好159633中证1000指数ETF,墨香不退与你同味,08-23 17:02,0.9173221798599187
689,92,1,[牛][牛][牛][牛][牛][牛][牛][牛][牛][牛][牛][牛][,YardSaleJun,08-23 17:01,0.9762067733519947
690,136,1,跌下来才是机会，来吧，看看4.27号那时候，跌到2863点,股市一枝侠,08-23 17:01,0.035481914394203895
691,2144,23,很少预判大A，今天试试手。今天开始到明年底，很难彻,豪赌永远与您同在,08-23 17:01,0.990225802223848
692,1336,7,大盘的窄幅震荡,老海螺,08-23 17:00,0.5486976325915107
693,87,1,股市不适合我，买啥啥跌，赚小亏大,管住手手手手手,08-23 17:00,0.7438082653969853
694,135,1,中证1000估值期货一来唤醒小盘股！紧盯中证1000指数ET,霉办法还是挣钱,08-23 16:58,0.933343158605872
695,2038,18, 坚定之前预判，八月已近尾声，本周起，越跌越买，静等,摩羯海星,08-23 16:58,0.954150694640384
696,12877,42,今天是8月21日，晚上21点39分钟，马上给所有人一个提,股侠钟超,08-23 16:58,0.0049660807095534
697,71,0,制造业还是绝对的主线，继续拿稳159633中证1000指数ET,吃肉的胖子,08-23 16:58,0.983746346048766
698,196,0,能源板块大涨 指数弱势盘整,牛犇先生,08-23 16:57,0.15292744308322603
699,67,0,专精特新要大力扶持，159633中证1000指数ETF打包专精,吃肉的胖子,08-23 16:57,0.9970492119227174
700,58,0,股市挣钱太难了…,Hnp阿文,08-23 16:57,0.5976014166030642
701,67,0,明天继续上涨吗？,股友eEyEWM,08-23 16:57,0.09045573402068785
702,49437,170,最后20分钟！马上跟所有人说一下，今天A股的下跌，不,股侠钟超,08-23 16:57,0.09711323328305876
703,56,0,中证1000最近走的特别强！看看159633中证1000指数ETF,吃肉的胖子,08-23 16:57,0.9828720392625777
704,54,0,$上证指数(SH000001)$,嘻嘻悦悦,08-23 16:56,0.5608304540994631
705,66,0,市场完全切换了！准备埋伏一点159633中证1000指数ETF,吃肉的胖子,08-23 16:56,0.6872369597045703
706,1482,21, 不知要等什么时候才能回本。。,真熊伤人假牛吃人,08-23 16:56,0.11601068756477617
707,166,0,和迪森转债说再见,持有封基88,08-23 16:56,0.7230608233664837
708,450,2, 中期属震荡整理，短期要回调支撑；近期控制5～6成仓位,股势赢家,08-23 16:56,0.7595443116153833
709,60,0,最近都成了梭哈王子了，买了守不了几天就跑了。今天居,L4千典,08-23 16:55,0.8752383782821432
710,71,0,有增量资金在，感觉159633中证1000指数ETF机会大！,吃肉的胖子,08-23 16:54,0.9920498716218752
711,64,0,中证1000最近热度很高，打算买一点159633中证1000指数,吃肉的胖子,08-23 16:54,0.9807142298529727
712,72,0,个人觉得上证50要走熊市了，大盘股的末日。这时候坚持,Moses_Judy,08-23 16:53,0.13168977399716852
713,53,0,159633中证1000指数ETF能买，覆盖了中小盘龙头,霉办法还是挣钱,08-23 16:53,0.697778240333546
714,50,0,159633中证1000指数ETF是易方达的？那未来流动性或很,霉办法还是挣钱,08-23 16:53,0.9647113733970206
715,723,3,收评|医药白酒持续跌 新能源光伏持续涨 该怎么办？,龙行天下虎呀,08-23 16:52,0.013953528167949925
716,221,1,胜马收评：沪深两市弱势收跌，创业板指微涨0.05%,胜马财经,08-23 16:52,0.41265707625632897
717,2169,17,与庄共舞天堂湖：周末消息爆棚，下周A股先抑后扬！,庄哥天堂湖,08-23 16:52,0.5262459312091915
718,58,0,买了159633中证1000指数ETF，估值历史偏低,霉办法还是挣钱,08-23 16:52,0.8955629945792074
719,11987,30,阿狸复盘8.21,阿狸复盘,08-23 16:51,0.26087100277175
720,4203,18,擦亮眼睛等待中线买点出现，将迎来5分级别反弹,熙凤吖,08-23 16:51,0.03422845902694649
721,49,0, 韭菜我是怎么炼成的！(8月23日),郭钛忠,08-23 16:51,0.05475586347593342
722,66,0,明日大盘将小幅上涨,嘛俐嘛俐厷,08-23 16:51,0.5225802334617956
723,367,1,这个股市没办法了。只有撤出了。,高大得春鹃,08-23 16:50,0.4782475090434479
724,78,0,制造业、生物医药是好赛道，通过159633中证1000指数ET,霉办法还是挣钱,08-23 16:50,0.9953132895743403
725,58,0,中证1000估值历史较低，布局159633中证1000指数ETF,霉办法还是挣钱,08-23 16:49,0.9798460587119678
726,61,0,中证1000增速快，看好159633中证1000指数ETF,霉办法还是挣钱,08-23 16:49,0.9847564218488677
727,2455,20,价值投资经典书籍推介（上）,芳泽论股,08-23 16:48,0.9811261399247768
728,72,0,明日上涨大概率,嘛俐嘛俐厷,08-23 16:46,0.330694942843309
729,179,2,开盘除了昨天涨停的，其他都卖了吧！外部环境恶劣，防,天路烟尘庄小娮,08-23 16:45,0.07231176556738561
730,367,3,想问问大家还记不记得，上次有人说的不买指数[微笑],Nietzsche2287,08-23 16:45,0.7351354711417325
731,111,1,"我是第二个看4000点的,相信相信的力量[兴奋]",生命法廷,08-23 16:44,0.998665884296597
732,99,1,为什么我一割肉就暴涨，赚钱不走就套牢,悟道中2022,08-23 16:41,0.5411617418973012
733,64,0,现金为王啊,一手波澜,08-23 16:39,0.5605733254620199
734,435,1,今天的预测：光伏大比例回调，非相关板块可能因降息上,卢明财经,08-23 16:38,0.1986453641014192
735,68,0,#储能市场上演路线之争#固,只能做渣男,08-23 16:37,0.839278573913448
736,4568,130,一波行情总是在大多数人的质疑声中产生…,东海鱼鹰,08-23 16:37,0.7475216806067618
737,633,0,实盘账户表现和具体操作，中长线观点，及潜力公司-202,地平线2008,08-23 16:37,0.8892368692312451
738,380,7,中南文化天地板。[晕],超短丨就是玩,08-23 16:37,0.6731753032970144
739,428,1,今天会不会暴力反弹？！？,悲伤的土豆,08-23 16:35,0.8423112525189547
740,430,2,日美英上日线要死叉了！！维持原判不变必定破前低2863,王者再,08-23 16:34,0.19593676551313177
741,244,1,平开涨1.76,藏心叶,08-23 16:34,0.4409631846721106
742,65,0,这个榜单，有参考意义嘛[想一下][想一下][想一下]现在,疯狂小炒家,08-23 16:33,0.15512435253586865
743,2259,9,天眼案例来袭，长线标的出炉，回调就是机会,天眼投资家,08-23 16:32,0.25731082040245523
744,67,0,啥吋收复3300点，就可吃一只龙华庙月饼，收复3400点，,九哥虹桥,08-23 16:32,0.1845463164937311
745,77,0,#国常会延续免征新能源车购置税#$(SZbk0900)$新能源长,财运亨通dhb,08-23 16:31,0.02790946214064438
746,76,0,北向资金大举卖出，不是啥好事情[想一下][想一下][想,疯狂小炒家,08-23 16:30,0.9053356932993146
747,165,0,骐邦一周市场评论与操作回顾（2022/8/15-8/19）,骐邦投资,08-23 16:28,0.6888643223126683
748,1864,21,盘前放水，立竿见影！,庄哥天堂湖,08-23 16:28,0.13947144065267625
749,88,0,明天上午，不快速上60线。全仓甩！切记，做股票又不是,股友krUI8d,08-23 16:28,0.015758606168131073
750,453,4,天天亏，月月亏，年年亏，买新股更亏！,无当飞将,08-23 16:28,0.7028637245533053
751,6603,31,身怀六甲的拓邦,金天快乐,08-23 16:27,0.7471811026992563
752,76,0,现在是st的天下[捂脸],招财广进得令狐冲,08-23 16:27,0.07691537440817953
753,138,1,硬拉新能源，最后都是死，唉,等解套就不玩了,08-23 16:26,0.06344880750690873
754,3839,56,下周初反弹！,君隆寶,08-23 16:26,0.7188102240682926
755,181,0,8月23收市策略【明日行情怎么走，该买点什么】一起读,雷眼观天下,08-23 16:26,0.9947753984376764
756,4867,13,没有大风浪，下跌后就是机会,八风无痕,08-23 16:23,0.9234224336874067
757,686,11,奇怪了，无论大盘涨跌反正我的股天天都是绿的[为什么],豁达的蜜雪儿,08-23 16:23,0.17247234776267395
758,1674,35, 我看大盘准不准？我看美股准不准？我看板块准不准？我,白水仙精灵,08-23 16:22,0.06316127659837867
759,109,0,指数迟迟未能冲关 怎么办,股友kou980516,08-23 16:21,0.08482496498832637
760,59,0,今天亏4733,悟道中2022,08-23 16:20,0.5265453991741998
761,402,1,翻红就跑不要抱幻想,高寺达,08-23 16:19,0.9882871776820573
762,142,3,这种行情一天亏三万,心如止水叮叮当,08-23 16:18,0.890142453148024
763,2365,26,8月21日晚间！刚得知市场曝光了几条重磅消息，有望带,鹏哥分析,08-23 16:18,0.23516806047765693
764,74,0,国资地产潜龙：华发股份，业绩优良扩张有序横琴地王，,股友TQKS4R,08-23 16:16,0.9997699048919055
765,76,0,大盘今天不涨的原因是，宁德时代晚上业绩暴增，明天带,这坚强小韭菜,08-23 16:16,0.8946474005953506
766,1109,4,长城汽车：封板领涨价值要重估？,辉哥侃股,08-23 16:15,0.5261800533539336
767,622,0,开盘前瞻：主要指数延续震荡，休整后何去何从？,财富视点直播,08-23 16:15,0.9197780544955325
768,84,1,我来把你蒙,埔成真君,08-23 16:15,0.2941176470588235
769,4819,143,友好提示：我不给关注超过5个人做粉丝，情非得已实侧,上官锋儿,08-23 16:15,0.8018694163997704
770,2462,4,美股如约回调，大A今天能否稳住,三秋一十三,08-23 16:13,0.28598211676984886
771,104,0,行业人士分析，受政策影响，四川部分锂盐和电池正负极,年年有余的吕布,08-23 16:13,0.8197469924751388
772,77,0,外围大跌打乱了出货计划，这两天拼命拉升稳住散户，老,和气富贵得逍遥子,08-23 16:12,0.02097867341873816
773,129,0,图画出来两个月后见分晓！,etf战神,08-23 16:11,0.2654058932289245
774,67,0,大胆预测一下，明天指数站上3300点。,破天一劍,08-23 16:11,0.98050207862458
775,2684,52, 八月快混过去了~每每旭日东升，都是崭新的开始。大盘,北京小影,08-23 16:11,0.9954818205263847
776,64,0,https://apps.apple.com/app/id1456716201,股友7592Wc6093,08-23 16:10,0.5
777,97882,1699,未来几年。美国股市要大熊市。中国要大牛市。黄金要大,小草田伟,08-23 16:10,0.9998810232332231
778,60,0,慢刀子割肉！！！,scott87,08-23 16:08,0.09422522188269578
779,1648,9,之前预判8月3日附近是重要的低点性质，已验证准确，8,天诺玄德,08-23 16:07,0.36537420890991534
780,67,0,垃圾股市，赶紧让我今年的回本吧，我销户还不行吗？,只想回本15w,08-23 16:06,0.1359698730294906
781,112,1,连续亏损第三天，今天割完了，一身轻松,诸葛抄股,08-23 16:06,0.7305671245163641
782,411,1,油价上涨几赔，天然气也飞涨，为什么华信国际股价天天,第二众和油大王,08-23 16:06,0.07399638018858223
783,2388,11,下周A股仍会震荡回撤,幸紫3,08-23 16:06,0.03809616692128659
784,443,2,是实话如果从5月后没有一个月是赚钱的可以退出股市了,沪上总舵主,08-23 16:05,0.19523369712374516
785,384,0,市场研判：1、在隔夜欧美市场大跌+北向全天大卖下，A,e酒t七霸午,08-23 16:05,0.8707934111156498
786,474,3,蓄势待发,晴天不打板,08-23 16:03,0.5
787,261,6, 买多亏多，买少亏少，中国股市，两年来一共亏了6万,股友d623782a77,08-23 16:02,0.6591164269646205
788,378,2,今天盼大跌？送你两个字：做梦！,强囯梦终会实现,08-23 16:02,0.1606246611294767
789,277,2,真正的强国走势,牛啊yyds,08-23 16:02,0.8630530555797126
790,35590,508,8.22上午操作分享,畅享快乐,08-23 16:01,0.8097627333031703
791,1982,4,又一支业绩回暖的潜力股,曾书书战记,08-23 16:01,0.9220305659089614
792,112,1,转发,炒股参谋,08-23 16:00,0.5
793,309,2,大幅低开，开盘跳水，盘中持续下跌，尾盘再跳水急跌,苍蝇盯臭蛋,08-23 16:00,0.0007656624153015157
794,1256,13,股市明天开盘！周末消息面利好不断，下周A股市场哪些,鹏哥分析,08-23 16:00,0.9612690810575958
795,490,8, 我感觉很奈斯,右公子,08-23 15:59,0.9154197211036742
796,1083,7,股票市场趋势线是极简交易的开始,广东粤意,08-23 15:59,0.5340613954775667
797,193,0,2022年8月23日盘后股市分析,趋势通A,08-23 15:58,0.9241351760845221
798,2091,57,如果你未来想要把炒股作为半个职业，以下内容认真看完,鹏哥分析,08-23 15:58,0.7053753259905762
799,847,0,A股午后跳水原因找到了！外资狂砸近百亿筹码，那么明,三万封板,08-23 15:58,0.3220557358613032
